0---C4C9H4H7CK;C3H6D3S9D8
1---C6D6D4HAS6;DJS5S3C2S9
5---C7H9D6S2D9;S7S9D10D3C7
6---D6D8C8S10C5;CKH9S6S7H3
13---S2C5C10DAHQ;D9CQD2S8DK
16---C7C2S2HJC5;SKCKDJH5S9
17---S9D2D6DAS6;C7C5SKDQSJ
19---C2D6D10S10S6;H2H8DAC4CQ
24---H2H8S7C10DA;S3D10C5DJCQ
28---HAH2S8HJS2;C10SKSQC8H9
29---CAC5DJH10D5;S6D3DAH7C2
32---CJC6D7S5D4;S3DKHAC10HQ
33---C2C7S4S3H3;DJH8DKCJS2
35---D6SKS8CAC9;D9DQDAS9H10
39---D5HAS10H9D10;D7S7C2H6S6
40---S6D8D7H4C6;S10D2CJS5DQ
42---CAH10D8S3D4;C2D6D9DJD2
44---C3C6HAH9H2;CJS8D8CKHK
46---H2D4DJH3SQ;S2D10H6HQC6
47---H5S2HJC9C3;S10S5S9DAS4
49---CAS7C9HAD10;H6HKDJCQH4
52---H5C8S8S6CQ;S7CAC4CKH8
53---D9S6H4H3H6;DJSJH7H10D3
54---H9DQC5S6C2;HQC10SKD2DK
55---DAS9D3D4H6;C9S2H5HAS10
56---S6C8H4S2C9;HKH5C6D7C5
58---S3H6C8S7HA;C3D8D9D10HK
60---DQC2H9SJC8;CQH3H7HJSQ
63---D4S4D7S7S9;D8CAH2S10H9
66---SQH3S10S9DA;HAD2S3C7H7
70---H7H9HQC10S9;SQS6H5CQS7
71---S10CKCJD9S2;S4C2D4H5H8
72---S10S3DJH10C9;S4C2DKSKC8
78---C7H10H6H2DJ;D2S9C3D6C9
79---DJC5D9C3S5;S10C7HQDKD8
80---S9HQHJD4SJ;H9S2C9DKD7
81---H2DAC3C10H10;DKH4H6C6CK
87---H3CAS5HQHA;S10D6SKD2SJ
93---HAH3CJD4CA;SQC5DADQD3
94---C9S4S7C3H8;CQH2S6D4H7
95---DAD8CJH10S3;HQH9HJHAS7
96---H7S9DKHJH6;S7SJH5DQCA
97---S9H3D9S5HJ;C6DAS2C4D5
99---H9H5S3SJH6;C4S10HQD4SQ
100---SJH3C7CJHA;S4H2D3H8DK
101---CAH8C4S9H10;HKDQCKS5D8
104---C8CJD5S9C4;D9HAH7D4D2
109---C7SQSJS9D8;C4D6H8S8DA
115---C7D5D9C5C8;C10D6HAH4H5
