4---C9D7D9S7D2;HAC5S8D8C10
7---DQSJD8C4DA;H3C9H7D6S2
8---S5HAHJS9DQ;D3S7C6D6S3
11---D3S6C7DJDQ;D8C8D2H7C6
12---S9C9DQHAS6;C10H4C2S8CK
14---HJC4D10DAC9;D7D6C7SJH3
22---S2SQDQS9H8;CKH10D9D4H9
25---C5SKH4DKHK;D2C9C6H6D6
26---DACJDJC6HQ;CAS8S2S3D2
31---C10C3D10H10D8;CJHJH6H2H3
36---CJDJD7SQH4;H10C10C9D2C7
37---S5D9DJCACJ;H5CKC6H4DQ
38---DKC10HJS10CJ;S6H2H10S5H3
41---S9H5D5CAS2;C3SQHAH3CK
43---H4CQDQC10H8;C8C2D3CJS8
45---H2S5S7C7D3;D10DQC3HKSQ
50---CQC4H4D3HA;S6HJC5HQC6
57---S3C8S2SKH7;D4C6CQCAC10
62---CJD7C7CKH3;H4C8H2D2CQ
65---H7D5HQD2DJ;H4D9D4DQD8
68---HKC9D10DJCJ;C6H7D9S2C5
74---D9S7H2S8S3;HQH7SKDQC6
75---H4CQD2DKD5;CAD6C4C6D9
76---C2C6H8C9CK;S6S10C10H4H3
83---C7S9S4DAH9;D4S7CACKD9
84---D5C9H3H4D8;C3H9DQHAD6
85---C10HKH10H8D6;D2S8CQDKH4
86---H4D6C9S2C2;H9C4S8S5SQ
88---S3H3D10H7S10;H10HKS6C5HA
89---S10D4HKD6S9;C3D5C9C2SK
90---CJDJS5DACQ;HJH4D7H6C7
92---CAD6S3H7CJ;C3D2S10C6HK
102---DJCKS8H9HA;D8C5S4DKH10
103---D6D2C10D8H3;SQHKSKCKDA
105---D6H7SQS10C3;H9H3S4H5CK
106---DJCQDQHQHJ;H3H7CKS8D9
107---CKS10S8DQHJ;C5H8S2C8S3
110---HQH7H5H4SQ;C5D6D5D3S3
111---DJD5S3C6C4;HASKC9CAD2
112---S6CKS10DKS2;CQH9C10C8C6
113---C3SKDAD9H4;D7H10S4C2S10
116---DJDKDQD4C4;HAS8D10H7C10
118---D5SJHQH2S10;H10CKC2S4H6
120---DQSQCAD9CK;H8H10HQHKC6
121---D9S8C7SJS5;S4D10C2D8C8
122---DKH6H2S3S7;HASJH7C9C5
123---S3S9C7HKC2;DQDKS7D7S2
125---H4HJH5HASQ;C8SKD9S10C4
127---S10C7DQDAS5;D2S7D7D5SQ
130---S6CAC4C6CJ;SKH8D5CKC9
134---H4SJHQD5HJ;H7H3CAD6S8
135---C6S4H4SJC3;SKC2H6S8SQ
137---H7CAHQHAC4;C5H10D9C9D7
141---HQH7DJD4H3;C8D3C6S7S9
143---DQD4H2S2H8;C7C3S6C6H5
144---S5CKH10S9CQ;CACJH3H8C3
145---C3S4CKH9C4;CASQS5D2HJ
148---HKH5CKH4DK;S6CJC6HQSJ
150---D6SJH9D3D9;S5CKD7H2HJ
152---DKH6H10S6HA;S8C8S2H8D2
157---CQD4H6D6C2;S4C7HKC9H2
158---H4D2H6HQC6;CQD5D3S5D4
161---H4C8S5SKCA;C10CJHJDKS6
169---H4S2H2S4H7;C4DASQD8S7
170---C4C2DKH4S5;DAC3SJHKD5
171---S2CJD3D10H10;CAC8D5H7S10
177---S8S7C7H5HK;D8D3C5S10DA
178---C5CADKS2H5;C6H6H10CQS9
181---DAC5H2D3H5;S2H3HJC3H6
182---D7H8CJHQC6;H2D6H5C8S8
183---CAH7S2D2C6;CKC7S8S9D3
184---H9HQS3H2SK;D6DQSQC6HA
187---S9DQD5D8C5;HJH3D9S3D6
189---HQC7DAH2D10;SJS5C8H6DJ
190---SQH8D10D2S7;C7D7C3H3D6
191---SKD8D4SJD2;HKC6D6S3CJ
192---D3DJDAD5D9;S10D7C10C8D10
195---H8D2SKS7DQ;HQHJC7D7HK
201---S2CQC8D6SQ;D2HKH4CJD10
208---C7S10DJD4C3;C4CJC9SQCQ
211---H9C2H2C8C6;C9S2DQD2SK
213---DJC6D6C2H4;H8D10SKC3DK
216---H9S10DKC6S9;D5S7S3H7HA
219---C3H6H8S9HA;C7S6H9DAC9
220---C2S8C8H10C10;D7H2C6H5D3
223---DJC4HQCJD8;S6H6D4S5DQ
224---HAC5S8S4CQ;D2S10C10C6S3
229---D5S4H5D2CJ;D6S6H4HQD7
231---S5D2S7D5CK;D9HKCAH7DQ
232---S2D3HKH3D8;H2SJS7C7C2
235---S10D8CAD5S5;HQHKDAD6C6
236---CADQS10H10D6;C3H9SQS7C5
238---CAD6HJD3H9;H3D2C6HKHQ
239---S10S4D4HKH2;C9S6D2H4S2
242---C2H8H4SKS8;D6DKC6H6CK
243---C6H4S7HQD8;H3S2S3C3SJ
244---CKCJD5DKH5;D4S7D8SJDQ
245---S6CJD6S7HQ;D2S10SQH2D4
246---C9C2C3S4H4;D7CJS10H5HQ
247---H2SQHJCQD3;C4HQDJDQD7
252---S6S2SKH4C5;D2D10S3H7CQ
253---H7H5D5HQCQ;H6D9S10CJD7
254---C4C2H9S3C5;S5D5D7H7C7
257---HQD9D7D6S5;S2D4CKC5H5
258---C4HAS9CJD7;D5CKHQS2H4
260---D8H5S5H3D2;H8SQHQS9H9
262---S5C6H9S9D7;S8SQD10S6S7
263---C2S5H7H9C6;D9H3H2S8C5
266---H5CQHASKC6;S3S2H3C2CA
267---HJH2C10HQC7;D6SKC8S10H10
269---H10HKC10H8HJ;C9H2S5C2H3
277---D10D2S4S6CJ;CKS3DAD8S9
279---SKHAD7CAD9;H9D2C6SQDK
280---S5C7H5H3HK;HJH9DKC5HA
285---HKH8D2D7D10;SQH4HQS6HA
